"Finale de la Coupe de France National 2 Slalom - 73700 Bourg St Maurice - Qualification - Manche 2 - 2019-07-06","Qualification - Manche 2","2019-07-06","Nationale 2","202"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Laurine Naveau","C1D","140.49","-","-",""
"Nahia Oteiza","C1D","277.32","-","-",""
"Eva Dauvergne","C1D","Abs","-","-",""
"Emilie Delahaye","C1D","Abs","-","-",""
"Timothee Cornu","C1H","95.62","-","-",""
"Etienne Wiche","C1H","96.16","-","-",""
"Louis Rathier","C1H","96.34","-","-",""
"Benjamin Jacon","C1H","96.51","-","-",""
"Maxime Kabir","C1H","97.28","-","-",""
"Mewen Debliquy","C1H","97.37","-","-",""
"Martin Daviet","C1H","98.18","-","-",""
"Benjamin Guyon","C1H","98.84","-","-",""
"Tanguy Adisson","C1H","99.45","-","-",""
"Lubin Huet","C1H","103.88","-","-",""
"Alex Baldoni","C1H","104.5","-","-",""
"Paul Tallet Pinet","C1H","105.14","-","-",""
"Samuel Vallienne","C1H","106.59","-","-",""
"Thomas Levert","C1H","107.22","-","-",""
"Philippe Thevenin","C1H","109.62","-","-",""
"Xavier Jourdain","C1H","109.75","-","-",""
"Guillaume Caron","C1H","110.92","-","-",""
"Etienne Nardeau","C1H","110.92","-","-",""
"Lucas Correia","C1H","111.26","-","-",""
"Paul Cascarino","C1H","112.34","-","-",""
"Medhi Deguil","C1H","114.15","-","-",""
"Matheo Lebaindre","C1H","114.54","-","-",""
"Enki Georgel","C1H","115.21","-","-",""
"Hugo Eouzan-chaffotec","C1H","115.46","-","-",""
"Virgile Bourlet De La Vallee","C1H","115.62","-","-",""
"Emilien Courtiade","C1H","118.93","-","-",""
"Adrien Roux","C1H","122.36","-","-",""
"Andreas Dupuy","C1H","122.51","-","-",""
"Lucas Latimier","C1H","123.35","-","-",""
"Stephane Abadie","C1H","127.97","-","-",""
"Gwenole Noyalet","C1H","156.66","-","-",""
"Yvan Leblond","C1H","260.77","-","-",""
"Vincent Froger","C1H","424.64","-","-",""
"Lucas Jacob","C1H","Abs","-","-",""
"Alexandre Ghirardi","C1H","Abs","-","-",""
"Pierre Marie Roussel","C1H","Abs","-","-",""
"Luc Hellard","C1H","Abs","-","-",""
"MaÏa Gombert","K1D","109.04","-","-",""
"Romane Regnier","K1D","109.77","-","-",""
"Margot Perrin","K1D","110.33","-","-",""
"Marie Juquelier","K1D","112.91","-","-",""
"Eva Marchand","K1D","113.31","-","-",""
"Violaine Truche","K1D","113.81","-","-",""
"Emilie Delahaye","K1D","114.66","-","-",""
"Perrine Joubert","K1D","115.09","-","-",""
"Anouk Alberti","K1D","115.1","-","-",""
"Angelique Guilcher","K1D","115.81","-","-",""
"Maeva Bachelot","K1D","115.95","-","-",""
"Romane Bronchet","K1D","116.9","-","-",""
"Kesia Georgel","K1D","117.08","-","-",""
"Mae Bianco","K1D","117.61","-","-",""
"Eva Dauvergne","K1D","117.88","-","-",""
"Mylene Guilcher","K1D","122.9","-","-",""
"Lise Denat","K1D","123.75","-","-",""
"Lea Baldoni","K1D","124.32","-","-",""
"Nahia Oteiza","K1D","125.95","-","-",""
"Adele Charlaigre","K1D","126.62","-","-",""
"Cerise Babin","K1D","127.17","-","-",""
"Margaux Fabijan","K1D","128.83","-","-",""
"Oceane Dorval","K1D","128.95","-","-",""
"Tifenn Primet","K1D","130.91","-","-",""
"Loan Battistuzzi","K1D","131.28","-","-",""
"Solen Friconneau","K1D","132.44","-","-",""
"Barbara Gibert","K1D","137.12","-","-",""
"Alicia Gallot","K1D","139.11","-","-",""
"Zoe Waeles","K1D","141.29","-","-",""
"Emilie Armani","K1D","146.41","-","-",""
"Celia Grandadam","K1D","148.16","-","-",""
"Louane Chenal","K1D","166.85","-","-",""
"Myriam Le Joncourt","K1D","173.96","-","-",""
"Lucie Cecile","K1D","174.03","-","-",""
"Clara Delahaye","K1D","185.03","-","-",""
"Laurine Salesse","K1D","190.99","-","-",""
"Elorri Erdois","K1D","191.4","-","-",""
"Nelia Barbosa","K1D","211.51","-","-",""
"Coline Bertin","K1D","212.79","-","-",""
"Youlia Estanguet","K1D","218.72","-","-",""
"Clara Grangeon","K1D","241.81","-","-",""
"Jessica Joyau","K1D","246.25","-","-",""
"Laurine Naveau","K1D","283.61","-","-",""
"Alina Rassel","K1D","290.1","-","-",""
"Manon Le Lay","K1D","328.26","-","-",""
"Marthealice Beaurepaire","K1D","374.06","-","-",""
"Anais Mouhoub","K1D","380.48","-","-",""
"Annaelle Meheut","K1D","Abs","-","-",""
"Pauline Clerc","K1D","Abs","-","-",""
"Luc Sarramea","K1H","89.18","-","-",""
"Benoit Chantry","K1H","89.53","-","-",""
"GÉrÔme Martin","K1H","89.68","-","-",""
"Benjamin Dodane","K1H","90.74","-","-",""
"Edouard Chenal","K1H","91.6","-","-",""
"Pierre Marie Roussel","K1H","91.67","-","-",""
"Etienne Wiche","K1H","91.68","-","-",""
"Benjamin Thiboust","K1H","91.73","-","-",""
"Sebastien Routhier","K1H","91.96","-","-",""
"Thibaud Lacour","K1H","92.14","-","-",""
"Arthur Mizzi","K1H","92.3","-","-",""
"Jules Bevalot","K1H","92.44","-","-",""
"Johan De Mareuil","K1H","92.83","-","-",""
"Emmanuel Walczak","K1H","93.05","-","-",""
"Djendy Simeant","K1H","93.08","-","-",""
"Jules Cresp","K1H","93.18","-","-",""
"Mewen Debliquy","K1H","93.5","-","-",""
"Lucas Correia","K1H","93.57","-","-",""
"Mael Bernes","K1H","93.85","-","-",""
"Theo Reby","K1H","93.87","-","-",""
"Nicolas Feuillard","K1H","93.97","-","-",""
"Xavier Jourdain","K1H","94","-","-",""
"Thomas Ukalovic","K1H","94.05","-","-",""
"Joris Schaffner","K1H","94.21","-","-",""
"Anthony Thuillier","K1H","94.27","-","-",""
"Dylan Sourbe","K1H","94.45","-","-",""
"Jerome Olhagaray","K1H","94.53","-","-",""
"Olivier Cail","K1H","94.64","-","-",""
"Guilhem Viguier","K1H","94.64","-","-",""
"Cedric Landreau","K1H","94.67","-","-",""
"GaËtan De Greef","K1H","94.76","-","-",""
"Gawaine Chikh","K1H","94.84","-","-",""
"Thomas L'huillier","K1H","94.85","-","-",""
"Romain Guyomard","K1H","94.91","-","-",""
"Lucas Jacob","K1H","95.03","-","-",""
"Erwan Rouch","K1H","95.44","-","-",""
"Cyprien Cail","K1H","95.58","-","-",""
"Joris Hello","K1H","95.59","-","-",""
"Antoine Saul","K1H","95.6","-","-",""
"Yann Zaepffel","K1H","95.87","-","-",""
"Francois Gillot","K1H","95.87","-","-",""
"Jonathan Delagnes","K1H","95.91","-","-",""
"Andreas Dupuy","K1H","95.95","-","-",""
"Yanis Rainaud","K1H","96.21","-","-",""
"Otello Willmann Rosso","K1H","96.27","-","-",""
"Sylvain Dandel","K1H","96.43","-","-",""
"Emilien Courtiade","K1H","96.5","-","-",""
"Thibaud Collaert","K1H","96.55","-","-",""
"Noe Monier","K1H","96.6","-","-",""
"Herve Busson","K1H","96.72","-","-",""
"Clement Dubois","K1H","96.81","-","-",""
"Baptiste Delemotte","K1H","96.95","-","-",""
"Tanguy Malingre","K1H","97.6","-","-",""
"Hugo Latimier","K1H","97.97","-","-",""
"Remi Vinet","K1H","98.06","-","-",""
"Leo Fournier","K1H","98.12","-","-",""
"Anthony Ulrich","K1H","98.25","-","-",""
"Lucas Dominguez","K1H","98.42","-","-",""
"Paul Bostoen","K1H","98.49","-","-",""
"Valentin Berland","K1H","98.68","-","-",""
"Luc Hellard","K1H","98.69","-","-",""
"Robin Pilard","K1H","98.82","-","-",""
"Hugo Crespo","K1H","99.02","-","-",""
"Teo Bouvier","K1H","99.53","-","-",""
"Marc Sarramea","K1H","99.57","-","-",""
"Antonin Barraud","K1H","99.84","-","-",""
"Felix Praderie","K1H","99.96","-","-",""
"Maxime Aubertin","K1H","100.26","-","-",""
"Nour Ait Kaddour","K1H","100.4","-","-",""
"Jeanmichel Regnier","K1H","100.75","-","-",""
"Ewen Berrest","K1H","101.4","-","-",""
"Eden Quevremont","K1H","101.89","-","-",""
"Jonathan Chapatte","K1H","101.93","-","-",""
"Nathan Boudaillez","K1H","102.26","-","-",""
"Nicolas Rouleaud","K1H","102.89","-","-",""
"Julien Dosse","K1H","102.89","-","-",""
"Arthur Contamine","K1H","103.65","-","-",""
"Emilien Kempf","K1H","104.47","-","-",""
"Loric Bertrand Delorme","K1H","104.75","-","-",""
"Theo Ducasse","K1H","105.22","-","-",""
"Alexandre Marin","K1H","105.88","-","-",""
"Simon Cognard","K1H","105.94","-","-",""
"Baptiste Podor","K1H","106.29","-","-",""
"Tino Forgues","K1H","106.81","-","-",""
"Vincent Garcia","K1H","106.89","-","-",""
"Youn Aubry","K1H","107.44","-","-",""
"Maxime Melmont","K1H","107.74","-","-",""
"Jean Philippe Roche","K1H","109.8","-","-",""
"Clement Couchoud","K1H","111.13","-","-",""
"Nicolas Labat","K1H","113.63","-","-",""
"Alexis Pacholak","K1H","115.13","-","-",""
"Silvere Desongins","K1H","116.05","-","-",""
"Yvan Leblond","K1H","118.15","-","-",""
"Nicolas Mangeolle","K1H","129.27","-","-",""
"Leo Collard","K1H","141.07","-","-",""
"Lucas Galmiche","K1H","142.08","-","-",""
"Bryan Seiler","K1H","146.8","-","-",""
"Fabien Tournadre","K1H","147.7","-","-",""
"Adrien Mesmoudi","K1H","148.18","-","-",""
"Martin Dubois","K1H","149.02","-","-",""
"Lubin Huet","K1H","149.27","-","-",""
"Anthony Drouhin","K1H","150.14","-","-",""
"Antonin Robert","K1H","150.35","-","-",""
"Gino Benini","K1H","151.46","-","-",""
"Alexis Dorey","K1H","157.47","-","-",""
"Esteban Illido","K1H","159.37","-","-",""
"Julien Saguet","K1H","167.61","-","-",""
"Titouan Castryck","K1H","193.94","-","-",""
"Pierre Audouin","K1H","201.12","-","-",""
"Charles Edouard Dherment","K1H","254.57","-","-",""
"Thibaud Chevalier","K1H","255.16","-","-",""
"Nicolas Mevel","K1H","261.49","-","-",""
